Name	Rank	FIRE DEPARTMENT	Date of Death	Location on Memorial
David J. O’Keeffe	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/2/1952	14 Top
Patrick O’Keefe	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/6/1943	16 Top
Thomas F. Madigan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/27/1904	  3 Bottom
John J. Donohue 3rd	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/3/1928	  5 Top
Joseph Kenavan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/1/1976	  8 Top
Jerome P. Ryan	Firefighter	BINGHAMTON FIRE DEPARTMENT	9/3/1951	  7 Bottom
Stephen Meegan	Firefighter	BUFFALO FIRE DEPARTMENT	1/28/1907	  6 Bottom
George H. Smith	Firefighter	PATCHOAGUE FIRE DEPARTMENT	10/5/1923	  6 Top
Edward J. Tuite	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/17/1970	  8 Bottom
Daniel J. Sheehan	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	11/6/1905	  3 Bottom
Paul Feeney	Firefighter	COLD SPRING FIRE COMPANY	6/30/1979	  9 Top
William L. Moran	Firefighter	NEW YORK CITY FIRE DEPARTMENT	6/30/1926	  5 Top
Thomas J. Kelly 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	1/3/2016	  5 Top
Leo Hackbarth	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/13/1911	  5 Bottom
Leon F. Pettit	Chief	BABYLON FIRE DEPARTMENT	2/5/1916	  3 Top
Robert G. Alford 	Lieutenant 	NEW YORK CITY FIRE DEPARTMENT 	3/22/2016	21 Bottom
Charles I. Pratt	Firefighter	SOUTH QUEENSBURY FIRE DEPARTMENT	4/9/1978	  9 Top
Gerard P. Dewan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  1 Bottom
Francis Wolfe	Firefighter	BUFFALO FIRE DEPARTMENT	1/3/1927	  5 Top
James H. Murphy	Firefighter	NEW YORK CITY FIRE DEPARTMENT	6/20/1929	  4 Top
Brian C. Hickey	Captain	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  6 Top
William H. Quick 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	1/18/2011	17 Top
Joan R. Daley 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT	9/27/2009	  1 Bottom
James McGroarty	Firefighter	SYRACUSE FIRE DEPARTMENT	1/19/1999	  4 Top
John L. Bowker	1st Assistant Chief	WOODMERE FIRE DEPARTMENT	3/17/1973	  7 Top
James P. Kelly	Hoseman	ALBANY FIRE DEPARTMENT	7/11/1909	  5 Bottom
Martin J. McHale 	Fire Marshal 	NEW YORK CITY FIRE DEPARTMENT 	12/24/2012	  9 Bottom
Francis V. A. Maher	Engineer	NEW YORK CITY FIRE DEPARTMENT	5/3/1909	  5 Bottom
Joseph Grzelak	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  5 Top
Jan Watala	Firefighter	HEMPSTEAD FIRE DEPARTMENT	10/23/1979	  9 Top
Robert Malmsheimer	Firefighter	LINDENHURST FIRE DEPARTMENT	1/1/1969	  9 Bottom
Christian L. Walter	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/17/1917	  3 Top
Stanley M. Waite	Firefighter	COSSAYUNA FIRE DEPARTMENT	1/1/1980	  9 Top
Matthew L. Ryan	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  6 Bottom
Earl Geertgens	Firefighter	NEW ROCHELLE FIRE DEPARTMENT	7/16/1965	  7 Top
Anthony Vielkind	Firefighter	TROY FIRE DEPARTMENT	12/2/1910	  5 Bottom
"Howard J. Carpluk, Jr."	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	8/27/2006	  1 Top
James J. Steakem	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/15/1940	  7 Bottom
John Mosher	Firefighter	SOLVAY FIRE DEPARTMENT	1/11/1968	  7 Top
Bernardo F. Carlock	Deputy Chief	NEW YORK CITY FIRE DEPARTMENT	11/29/1930	  4 Top
Loren J. Michael	Captain	BATAVIA FIRE DEPARTMENT	8/5/1966	  7 Top
George H. Tifft	Firefighter	BUFFALO FIRE DEPARTMENT	01/25/1865	  1 Top
David G. Flynn	Firefighter	CANANDAIGUA FIRE DEPARTMENT	4/9/1978	  9 Top
"Joseph P. Colleluori, Jr. "	Lieutenant 	NEW YORK CITY FIRE DEPARTMENT 	1/4/2007	17 Bottom
Joseph Wesolowski	Firefighter	RIVERHEAD FIRE DEPARTMENT	1/1/1971	  7 Top
James A. O’Brien	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	4/19/1930	  4 Top
Francis J. Trau	Firefighter	EGYPT FIRE DEPARTMENT	1/1/1975	  8 Top
Jonathan L. Ielpi	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  4 Top
J. Kenneth Flinton	Firefighter	TROY FIRE DEPARTMENT	10/11/1928	  5 Top
"William F. Steffens, Jr."	Engineer	HILLCREST FIRE COMPANY NO. 1	7/21/1967	  7 Top
Francis Esposito	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  8 Bottom
Wilfredo F. Urbina	Firefighter	BALDWIN FIRE DEPARTMENT	11/29/2004	  6 Top
Thomas F. Phillips	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/10/1908	  6 Bottom
Harry C. Wilmot	Firefighter	NISKAYUNA NO. 2 FIRE DEPARTMENT	4/12/1959	  6 Top
Albino J. Norberto	Firefighter	MAMARONECK FIRE DEPARTMENT	9/3/1973	  7 Top
Joseph E. Maloney	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  8 Bottom
"William F. Kelly, II"	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/27/1967	  9 Bottom
Edward J. Butler	Lieutenant	TROY FIRE DEPARTMENT	1/26/1911	  1 Top
Eugene Miller	Firefighter	PORT CHESTER FIRE DEPARTMENT	4/10/1991	  8 Bottom
William J. Walsh	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	1/9/1912	  4 Bottom
Henry Fields	Firefighter	BAY SHORE FIRE DEPARTMENT	1/1/1968	  9 Bottom
William Sharp	Fire Police Captain	RIDGE-CULVER FIRE DEPARTMENT	11/2/1980	  9 Top
Terence P. McShane	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  3 Bottom
Richard A Dellacona 	Chief 	WESTBURY FIRE DEPARTMENT 	9/3/2012	  4 Top
William Wren	Fire Safety Director	WORLD TRADE CENTER	9/11/2001	  3 Top
Roy E. Smith 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT	4/2/2017	19 Top
Harry O. Fairweather	Firefighter	TROY FIRE DEPARTMENT	4/8/1909	  5 Bottom
Gerald Otto	Captain	GARDEN CITY FIRE DEPARTMENT	3/21/1969	  7 Top
James J. O’Shea	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/27/2003	  2 Top
Leland Campbell	Firefighter/Past Chief	HUNTERSLAND FIRE DEPARTMENT	11/11/1962	  7 Bottom
Thomas Lawson	Firefighter	BUFFALO FIRE DEPARTMENT	1/1/1977	  8 Bottom
George H. Gombert	Firefighter	CAMBRIA FIRE DEPARTMENT	12/10/1973	  7 Top
Peter A. Vega	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  1 Bottom
Richard Sweeney	1st Assistant Chief	JOHNSTOWN FIRE DEPARTMENT	1/15/1965	  5 Bottom
"Vincent J. Tancredi, II "	Lieutenant 	NEW YORK CITY FIRE DEPARTMENT 	8/8/2008	19 Top 
Sean M. McCarthy 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	5/27/2008	  1 Top
Edward R. Skumurski	Firefighter	SCHENECTADY FIRE DEPARTMENT	3/26/1975	  8 Bottom
John E. Heffernan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  5 Bottom
Rev. John L. Brown	Firefighter	ONONDAGA HILL FIRE DEPARTMENT	1/1/1978	  9 Top
Ignatius F. Neusch	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/3/1916	  3 Top
William O’Connor	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/2/1978	  9 Top
George Casselis	Firefighter	PEEKSKILL FIRE DEPARTMENT	8/1/1918	  2 Top
Dynah Monahan	Firefighter	ELMIRA FIRE DEPARTMENT	1/1/1925	  5 Top
Rudolph M. Lutz	Firefighter	SNYDER FIRE DEPARTMENT	10/7/1956	  7 Bottom
Richard A. Nappi	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	4/16/2012	  9 Top  
John F. Searing	Firefighter	AUBURN CITY FIRE DEPARTMENT	3/30/1960	  7 Bottom
Michael D. D’Auria	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  6 Top
John J. Stelmack	Captain	NEW YORK CITY FIRE DEPARTMENT	6/23/1977	  8 Top
Christopher J. Pickford	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	17 Top
Joseph D. McKeon 	Battalion Chief 	NEW YORK CITY FIRE DEPARTMENT 	8/19/2017	11 Bottom
Gregory M. Stajk	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  7 Bottom
Michael McCarthy	Captain	BUFFALO FIRE DEPARTMENT	12/6/1925	  5 Top
Emmet F. Donnelly	Firefighter	NEW YORK CITY FIRE DEPARTMENT	6/15/1922	  6 Top
"Harold Coons, Jr."	Captain	SOUTH SCHODACK FIRE DEPARTMENT	8/30/2002	  5 Bottom
Edward J. Ehlers	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/20/1970	  8 Bottom
Robert Sherman	Firefighter	MONTEZUMA FIRE DEPARTMENT	1/1/1980	  9 Top
Dr. Charles Greene	Firefighter	PEEKSKILL FIRE DEPARTMENT	8/1/1918	  2 Top
Richard Provost	Ex-Captain	GARDEN CITY PARK FIRE DEPARTMENT	4/30/1977	  8 Top
Charles W. Byron	Engineer	ROCHESTER FIRE DEPARTMENT	2/26/1919	  1 Top
Dennis J. Healy	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/26/1906	  1 Bottom
"Willie Stroman, Jr."	Firefighter	ROOSEVELT FIRE DEPARTMENT	1/1/1979	  9 Top
George E. Meenken	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/5/1977	  9 Top
Charles E. Meadows	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/13/1909	  5 Bottom
Patrick J. Waters	Captain	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  8 Bottom
Harry Shapiro	Fire Police	SOUTH FALLSBURG FIRE DEPARTMENT	8/11/1978	  9 Top
John T. McKenna	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/19/1979	  9 Top
Fred G. Lane	Captain	CORNING FIRE DEPARTMENT	2/11/1923	  6 Top
James Nash	Firefighter	WEST SENECA FIRE DEPARTMENT	4/4/1975	  8 Top
Oscar Dixon	Firefighter	SELDEN FIRE DEPARTMENT	10/27/1973	  3 Top
John S. Roberts	Captain	NEW YORK CITY FIRE DEPARTMENT	1/28/1927	  5 Top
Clarence Schoures	Chief	NORTH BAILEY FIRE DEPARTMENT	11/18/1975	  8 Top
Dana J. Stevens	Firefighter	BOSTON FIRE DEPARTMENT	7/17/1978	  9 Top
Frank W. Schmidt	Firefighter	HEWLETT FIRE DEPARTMENT	5/3/1966	  7 Top
Richard Sycz	Firefighter	GREENPORT FIRE DEPARTMENT	1/1/1977	  8 Top
Robert F. DiGiovanni 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT	1/27/2017	   8 Top
"George R. Davidson, III "	Firefighter 	YOUNGSVILLE FIRE DEPARTMENT	4/25/2007	  1 Bottom
Thomas A. Gardner	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  3 Bottom
Donald R. Totman	Firefighter	MCLEAN FIRE DEPARTMENT	8/12/1955	  7 Bottom
Donald M. Bub	Firefighter	NEW YORK CITY FIRE DEPARTMENT	6/6/1980	  9 Top
Walter E. Ferguson 	Firefighter 	CRONOMER VALLEY FIRE DEPARTMENT 	12/20/1946	  1 Top
Jerome Taylor	Captain	HILLBURN FIRE DEPARTMENT	3/12/1999	  2 Top
Philip T. Hayes	Fire Safety Director WTC	"WORLD TRADE CENTER, ENGINE 217"	9/11/2001	  3 Bottom
John Maloney	Firefighter	BUFFALO FIRE DEPARTMENT	7/25/1972	  8 Bottom
Fred Fempel	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/25/1919	  6 Top
Durrell V. Pearsall	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  6 Top
George Knapp	Firefighter	WHITE PLAINS FIRE DEPARTMENT	12/1/1911	  5 Bottom
Kevin A. Rooney 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	1/22/2017	14 Top
John O’Hara	Deputy Chief	NEW YORK CITY FIRE DEPARTMENT	12/18/1926	  5 Top
Thomas P. Eglinton	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/4/1908	  6 Bottom
Thomas J. Hetzel	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  2 Top
John M. Janos 	Firefighter 	BINGHAMTON FIRE DEPARTMENT 	4/6/2013	  9 Top
"Martin J. Egan, Jr."	Captain	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  3 Top
Daniel C. Henderson	Firefighter	PORT WASHINGTON FIRE DEPARTMENT	7/29/1943	 6 Bottom
Dwight L. Seaton	Firefighter	SUMMIT FIRE DEPARTMENT	4/30/1972	  7 Top
Lewis D. McManus	Firefighter	NEW WOODSTOCK FIRE DEPARTMENT	5/5/1973	   5 Bottom
Frank Marciniak	Lieutenant	AMSTERDAM FIRE DEPARTMENT	1/10/1980	  9 Top
"Joseph Sanford, Jr. "	Firefighter 	INWOOD FIRE DEPARTMENT 	12/23/2014	  3 Top
Theodore Fitzgerald	Lieutenant	ROCHESTER FIRE DEPARTMENT	4/28/1905	  2 Bottom
Henry F. Baker	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/27/1907	  6 Bottom
"John T. Gallagher, Sr. "	Captain 	NEW YORK CITY FIRE DEPARTMENT	7/26/2015	19 Top
"James E. Mero, Jr."	Firefighter	WILLSBORO VOLUNTEER FIRE DEPARTMENT	3/9/2005	   2 Bottom
Edward A. Maxon	Firefighter	OSWEGO FIRE DEPARTMENT	5/2/1956	  7 Bottom
"Kevin M. Delano, Sr. "	Firefighter 	NEW YORK CITY FIRE DEPARTMENT  	7/30/2008	20 Top
Perry R. Peterson	Deputy Chief	NEW YORK CITY FIRE DEPARTMENT	1/7/1968	  9 Bottom
"Joseph R. Stach, Jr. "	Lieutenant 	NEW YORK CITY FIRE DEPARTMENT 	1/7/2018	19 Bottom
Frank P. Bertin	Lieutenant	ENDICOTT FIRE DEPARTMENT	11/14/1942	  2 Bottom
Patrick J. Lee	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/16/1919	  1 Top
Anton Jiranek	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/7/1911	  5 Bottom
Peter J. Parks	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/23/1927	  5 Top
George Bassett	2nd Assistant Chief	SELDEN FIRE DEPARTMENT	3/10/1970	  4 Top
Tarel Coleman	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  4 Top
Edward J. Mankuski	Chief	KINGS PARK FIRE DEPARTMENT	2/15/1974	  8 Bottom
Brian G. McAleese	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  7 Top
Robert J. Wieber 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT  	10/31/2006	18 Bottom
Raymond R. York	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  4 Top
Michael Zerrilla	Firefighter	OSSINING FIRE DEPARTMENT	12/4/1966	  9 Bottom
Henry H. Mitchell	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/31/1972	  7 Top
John Torpy	Firefighter	PEEKSKILL FIRE DEPARTMENT	8/1/1918	  2 Top
Donald E. Faughnan	Assistant Chief	BINGHAMTON FIRE DEPARTMENT	5/1/1987	  8 Bottom
Jose A. Guadalupe	Firefighter 	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  1 Top
Kevin McKinney	Firefighter	LEVITTOWN FIRE DEPARTMENT	1/1/1979	  9 Top
Phillip Cohen	Firefighter	LONG BEACH FIRE DEPARTMENT	1/1/1975	  8 Top
Thomas F. Kearns	Captain	NEW YORK CITY FIRE DEPARTMENT	4/12/1917	  3 Top
Joseph P. McCann	Firefighter	TROY FIRE DEPARTMENT	5/1/1922	  6 Top
Alan F. Hogancamp	Fire Police	ELSMERE FIRE DEPARTMENT	3/6/1981	  1 Bottom
Lawrence J. Sullivan 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT  	8/20/2012	  1 Top
"Joseph Sullivan, III"	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/19/1930	  4 Top
Frank J. Bonomo	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  2 Top
Charles W. Garbarini	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  3 Bottom
Al Petersen	Ex-Chief	ROSLYN HIGHLAND FIRE DEPARTMENT	7/3/1969	  9 Bottom
Stephen G. Siller	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  8 Bottom
Gerald J. Frisby	Firefighter	NEW YORK CITY FIRE DEPARTMENT	6/27/1980	  9 Top
James Burgess	Captain	NEW ROCHELLE FIRE DEPARTMENT	1/19/1963	  7 Bottom
Stephen Barry	Firefighter	BALDWIN FIRE DEPARTMENT	1/1/1975	  8 Top
Ronald C. DooLittle	Firefighter	CAMPBELL HALL FIRE DEPARTMENT	4/13/1970	  7 Top
Walter Hill	Firefighter	WANTAGH FIRE DEPARTMENT	7/12/1949	  1 Bottom
Walter F. Ruland	Firefighter	EAST MORICHES FIRE DEPARTMENT	1/1/1972	  7 Top
"Bernard P. McManus, II"	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/25/1969	  9 Bottom
Edward Kazanacki	Firefighter	TERRYVILLE FIRE DEPARTMENT	1/1/1974	  8 Top
Richard D. Arazosa 	Battalion Chief 	NEW YORK CITY FIRE DEPARTMENT 	4/13/2013	20 Top
Daniel F. Anson	Firefighter	DUNKIRK FIRE DEPARTMENT	8/8/1979	  9 Top
Joseph P. Henry	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  4 Bottom
"Edward F. Reilly, Jr. "	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	7/23/2009	21 Top
William Koerner	Firefighter	OCEANSIDE FIRE DEPARTMENT	3/31/1977	  8 Top
James A. Hagan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/24/1939	  8 Bottom
"Stephen T. Ray, Jr."	Firefighter	NEW YORK CITY FIRE DEPARTMENT	6/6/1911	  5 Bottom
Julius Spanier	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/30/1923	  6 Top
Richard E. Nogan 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	12/20/2014	21 Top
Sam Sabeido	Firefighter	SELDEN FIRE DEPARTMENT	6/19/1938	  9 Bottom
Daniel J. Campbell	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/6/1907	  6 Bottom
Michael T. Russo	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  9 Bottom
Mathew J. Dunn 	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/14/1931	  4 Top
Paul M. Beyer	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  6 Top
Arnold B. Shepard	Firefighter	BINGHAMTON FIRE DEPARTMENT	2/5/1951	  7 Bottom
Donald O. Smith	Lieutenant	LOCKPORT FIRE DEPARTMENT	2/10/1985	  6 Bottom
Gregory A. Chevalley 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT	4/24/2015	  1 Top
Joseph F. Zino	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/15/1979	  9 Top
George J. Major	Hoseman	ROCHESTER FIRE DEPARTMENT	11/1/1913	  4 Bottom
George P. Linnermann	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/18/1968	  9 Bottom
Kevin M. Shea	Chief	ELSMERE FIRE DEPARTMENT	1/24/2004	  3 Bottom
Jonathan R. Hohmann	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  1 Top
Raymond W. Alexander 	Lieutenant 	NEW YORK CITY FIRE DEPARTMENT 	11/21/2016	16 Top
"John P. Sullivan, Jr. "	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	12/24/2010	21 Bottom
Kenneth D. Morrison	Firefighter	CORNWALL FIRE DEPARTMENT	4/14/1957	  4 Bottom
Allan J. Sweet	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	11/14/1973	  4 Bottom
Thomas Lynch	Marine Engineer	BUFFALO FIRE DEPARTMENT	7/27/1928	  5 Top
Jack Ward	Firefighter	CORNWALL FIRE DEPARTMENT	1/1/1979	  9 Top
Gerard T. Nevins	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  3 Bottom
"Louis A. Kolts, Jr."	Firefighter	KINGSTON FIRE DEPARTMENT	2/3/1919	  6 Top
Herbert Allgeier	Firefighter	SOUTH WILSON FIRE COMPANY	11/14/1973	  7 Top
"Patrick S. Joyce, Jr. "	Firefighter 	YONKERS FIRE DEPARTMENT 	10/2/2009	  2 Bottom
Dennis P. O’Berg	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  9 Bottom
Ernest L. Heatherman	Firefighter	BRISBEN FIRE DEPARTMENT	2/16/2004	  1 Top
Michael E. Hanley	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/6/1923	  6 Top
"Willie T. Franklin, Jr. "	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	2/14/2011	20 Bottom
William V. Lattrell 	Fire Chief 	KEESEVILLE VOLUNTEER FIRE DEPARTMENT 	8/25/1953	  5 Top
Steven Coakley	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  6 Bottom
"Edward J. White, III"	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  7 Top
John J. Halpin 	Lieutenant 	NEW YORK CITY FIRE DEPARTMENT 	5/29/2014	20 Top
Thomas P. Hannafin	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  6 Bottom
William Naughton	Lieutenant	BUFFALO FIRE DEPARTMENT	1/28/1907	  6 Bottom
Michael D. Curtin	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/15/1915	  3 Top
Walter G. Morrison	Firefighter	WEST EXETER FIRE DEPARTMENT	1/1/1981	  9 Top
Danny Levy 	Firefighter 	PLAINVIEW FIRE DEPARTMENT 	1/7/2013	20 Bottom
Charles E. Cooley	Firefighter	WHITE PLAINS FIRE DEPARTMENT	2/3/1907	  6 Bottom
Robert G. Courtnay	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	11/21/1978	  8 Bottom
Lee Jordan	Firefighter	FRIENDSHIP FIRE DEPARTMENT	1/1/1980	  9 Top
Harry Schumann	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/11/1928	  5 Top
Edward Shirley	Lieutenant	SYRACUSE FIRE DEPARTMENT	3/11/1977	  8 Bottom
Michael F. Alder	Firefighter	VOLNEY FIRE DEPARTMENT	11/14/1996	  2 Bottom
Edward A. D’Atri	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  5 Bottom
Robert Robinson	Driver	BUFFALO FIRE DEPARTMENT	6/8/1915	  3 Top
Lloyd Coughlin	Firefighter	HUNTINGTON MANOR FIRE DEPARTMENT	1/17/1972	  7 Top
Dever Morey	Firefighter	EARLVILLE FIRE DEPARTMENT	1/1/1975	  8 Top
William Fletcher	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/3/1925	  5 Top
Walter Voight 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	2/2/2004	21 Bottom
Victor M. Gabriel	Firefighter	STOCKPORT FIRE COMPANY	4/24/1979	  9 Top
Howard L. Hendrix	Firefighter	ILION FIRE DEPARTMENT	12/27/1967	  7 Top
Harry L. Davidson	Firefighter	WINONA LAKE FIRE DEPARTMENT	4/30/1995	11 Bottom 
James J. Sullivan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/21/1923	  6 Top
Charles Grieco	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/26/1968	  6 Top
James W. Thompson	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/27/1915	  3 Top
Alexander Collie	Chief	NORTH LINDENHURST FIRE DEPARTMENT	1/14/1978	  9 Top
Donald L. Franklin	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/13/2001	  4 Bottom
Thomas J. Foley	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  1 Top
Carl Edmonds	Firefighter	HARFORD FIRE DEPARTMENT	5/4/1965	  7 Top
Gerard P. Schrang	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  4 Bottom
Thomas Malaney	Firefighter	WESTBURY FIRE DEPARTMENT	7/11/1926	  5 Top
Michael P. Smith 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	12/25/2015	  4 Bottom
Robert R. Dolney	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/5/1980	  9 Top
William J. Gormley 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	6/14/2017	  3 Top
Timothy J. Lamere	Assistant Chief	CONSTABLE FIRE DEPARTMENT	8/21/2012	  8 Bottom
John Ryan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/8/1907	  6 Bottom
Nelson Carpenter	Firefighter	POLAND VOLUNTEER FIRE DEPARTMENT	9/16/1964	  6 Bottom  
James F. Walker	Firefighter	YONKERS FIRE DEPARTMENT	1/1/1971	  7 Top
Henry Oltmann	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/8/1918	  2 Top
John J. Vadas	Firefighter	ROCHESTER FIRE DEPARTMENT	9/29/1969	  9 Bottom
Andre G. Fletcher	Fire Marshal	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  6 Top
Raymond M. Downey	Deputy Chief	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  4 Bottom
Sheldon Barocas 	Captain 	NEW YORK CITY FIRE DEPARTMENT 	12/19/2011	  5 Bottom
John J. Whelan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/31/1930	  4 Top
William J. McGovern	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  1 Bottom
Everett Hull	Firefighter	CASTILE FIRE DEPARTMENT	1/1/1974	  8 Top
William R. St. George 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	7/1/2007	18 Bottom
Joseph Beattie	Firefighter	DOBBS FERRY FIRE DEPARTMENT	12/1/1964	  7 Bottom
Adrian C. Snyder	Firefighter	CATON FIRE DEPARTMENT	8/26/1976	  8 Top
Anthony J. Nuccio 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	6/7/2011	  4 Bottom
Eugene J. McCarey 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	11/13/2014	  2 Bottom
Robert J. Ventriglia 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	11/2/2010	20 Bottom
Adolfo Otaño 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	11/8/2013	  4 Bottom
George A. O’Conner	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/10/1908	  6 Bottom
