Name	Rank	FIRE DEPARTMENT	Date of Death	Location on Memorial
William Ryan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/4/1901	13 Bottom
William S. Kennedy	Firefighter	BINGHAMTON FIRE DEPARTMENT	4/29/1929	10 Bottom
William S. Neville	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/10/1936	18 Top
William S. Wilkes	Firefighter	TROY FIRE DEPARTMENT	07/22/1873	16 Bottom
William Shaw	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	05/09/1896	14 Bottom
William Sheehan	Lineman	BUFFALO FIRE DEPARTMENT	8/31/1934	19 Top
William Sinzer	Firefighter	PEEKSKILL FIRE DEPARTMENT	9/16/1989	11 Top
William Smith	Firefighter	BUFFALO FIRE DEPARTMENT	12/21/1882	16 Bottom
William Sullivan	Firefighter	AMSTERDAM FIRE DEPARTMENT	4/9/1907	10 Bottom
William T. Moran	Firefighter	BINGHAMTON FIRE DEPARTMENT	9/17/1928	10 Bottom
William V. Kendrick	Firefigher	SYRACUSE FIRE DEPARTMENT	10/16/1944	16 Top
William V. Ryan	Captain	TROY FIRE DEPARTMENT	4/17/1958	13 Top
William W. Smith	Firefighter	ROCHESTER FIRE DEPARTMENT	12/29/1943	16 Top
William Wray	Firefighter	NEW YORK CITY FIRE DEPARTMENT	05/24/1887	15 Bottom
Williams Hughes	Firefighter	NEW YORK CITY FIRE DEPARTMENT	09/14/1875	16 Bottom
Willis Meginn	Firefighter	NEWBURGH FIRE DEPARTMENT	5/17/1900	13 Bottom
Winfield A. Walsh	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/4/1947	15 Top
Oliver G. O’Dell	Firefighter	NEW ROCHELLE FIRE DEPARTMENT	12/5/1940	17 Top
Edward Hanavan	Firefighter’s Aide	BUFFALO FIRE DEPARTMENT	12/21/1934	19 Top
John O’Rourke	Firefighter	NEW YORK CITY FIRE DEPARTMENT	01/25/1880	16 Bottom
Michael O’Brien	Driver	BUFFALO FIRE DEPARTMENT	01/12/1894	14 Bottom
Timothy F. O’Leary	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	1/1/1958	13 Top
William H. O’Brien	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/20/1966	11 Bottom
John O’Donnell	Firefighter	NEW YORK CITY FIRE DEPARTMENT	04/24/1854	18 Bottom
